"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61","Verify HTTP 403 response when refreshing the token is not allowed","","Mon Apr 27 05:46:50 UTC 2026","passed","Mon Apr 27 05:46:50 UTC 2026","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_unauthorized"
"","52","Policy is not accepted because definition is not correct ""Access policy permission with not allowed constraints""","","Mon Apr 27 05:47:04 UTC 2026","passed","Mon Apr 27 05:47:04 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","38","Policy is not accepted because definition is not correct ""Usage policy obligation with not allowed constraints""","","Mon Apr 27 05:47:04 UTC 2026","passed","Mon Apr 27 05:47:04 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","2348","Refresh token success","","Mon Apr 27 05:47:03 UTC 2026","passed","Mon Apr 27 05:47:06 UTC 2026","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_success"
"","46","discoveryShouldReturn502_ifMetadaEndpointNotReachable()","","Mon Apr 27 05:47:29 UTC 2026","passed","Mon Apr 27 05:47:29 UTC 2026","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","discoveryShouldReturn502_ifMetadaEndpointNotReachable"
"","65","triggerDataTransfer_shouldFail_whenDataFlowDoesNotExist()","","Mon Apr 27 05:47:03 UTC 2026","passed","Mon Apr 27 05:47:03 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","triggerDataTransfer_shouldFail_whenDataFlowDoesNotExist"
"","10993","httpPushNonFiniteDataTransfer()","","Mon Apr 27 05:50:34 UTC 2026","passed","Mon Apr 27 05:50:45 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Dsp08to08","httpPushNonFiniteDataTransfer"
"","56","Policy is accepted ""Warranty""","","Mon Apr 27 05:47:03 UTC 2026","passed","Mon Apr 27 05:47:03 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","35","Policy is not accepted due to missing context ""Data Usage End Duration Days""","","Mon Apr 27 05:47:04 UTC 2026","passed","Mon Apr 27 05:47:04 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","4171","transferData_unsuccessful_notReturnOriginalSourceResponseCode_withTerminate()","","Mon Apr 27 05:49:16 UTC 2026","passed","Mon Apr 27 05:49:20 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_unsuccessful_notReturnOriginalSourceResponseCode_withTerminate"
"","2056","transferFile_s3ToAzure(Vault)","","Mon Apr 27 05:47:51 UTC 2026","passed","Mon Apr 27 05:47:53 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","transferFile_s3ToAzure"
"","137","5.4.3.6 Verifier should reject Presentations where at least 1 credential is revoked/suspended","","Mon Apr 27 05:48:43 UTC 2026","passed","Mon Apr 27 05:48:43 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_03_06_presentationResponse_credentialRevoked"
"","52094","Catalog with 1000 offers","","Mon Apr 27 05:47:09 UTC 2026","passed","Mon Apr 27 05:48:01 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_of1000Assets_shouldContainAll"
"","50","5.4.2.3 Verifier should reject an empty 'presentation' array","","Mon Apr 27 05:48:43 UTC 2026","passed","Mon Apr 27 05:48:43 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_02_03_presentationResponse_emptyPresentations"
"","15743","discoveryShouldReturn502_whenProviderEndpointNotReachable()","","Mon Apr 27 05:47:29 UTC 2026","passed","Mon Apr 27 05:47:45 UTC 2026","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","discoveryShouldReturn502_whenProviderEndpointNotReachable"
"","45","Policy is not accepted due to missing context ""Affiliates Region""","","Mon Apr 27 05:47:04 UTC 2026","passed","Mon Apr 27 05:47:04 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","48","Policy is not accepted due to missing context ""Affiliates BPNL""","","Mon Apr 27 05:47:04 UTC 2026","passed","Mon Apr 27 05:47:04 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","2345","Verify the refresh endpoint is not called when auto_refresh=false","","Mon Apr 27 05:46:47 UTC 2026","passed","Mon Apr 27 05:46:49 UTC 2026","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_whenNotAutorefresh_shouldNotCallEndpoint"
"","1858","Expect the Catalog request to fail if a credential is expired","","Mon Apr 27 05:48:02 UTC 2026","passed","Mon Apr 27 05:48:04 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","catalogRequest_whenCredentialExpired"
"","4666","Verify that the callbacks are invoked when negotiating an EDR","","Mon Apr 27 05:47:13 UTC 2026","passed","Mon Apr 27 05:47:18 UTC 2026","","org.eclipse.tractusx.edc.tests.edrv2.NegotiateEdrTest","org.eclipse.tractusx.edc.tests.edrv2.NegotiateEdrTest","negotiateEdr_shouldInvokeCallbacks"
"","11041","httpPushNonFiniteDataTransfer()","","Mon Apr 27 05:51:16 UTC 2026","passed","Mon Apr 27 05:51:27 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Dsp2025to2025","httpPushNonFiniteDataTransfer"
"","81","X.X Verifier should reject Presentations where at least 1 credential schema is violated","","Mon Apr 27 05:48:43 UTC 2026","passed","Mon Apr 27 05:48:43 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_x_x_presentationResponse_invalidCredentialSchema"
"","37","Policy is not accepted due to missing context ""Jurisdiction Location""","","Mon Apr 27 05:47:04 UTC 2026","passed","Mon Apr 27 05:47:04 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","2089","transferFile_s3ToAzureMultipleFiles_whenConsumerDefinesBloblName_success(Vault)","","Mon Apr 27 05:47:49 UTC 2026","passed","Mon Apr 27 05:47:51 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","transferFile_s3ToAzureMultipleFiles_whenConsumerDefinesBloblName_success"
